Date,Close
4/3/2017,1.332418
4/4/2017,1.31978
4/5/2017,1.302198
4/6/2017,1.345055
4/7/2017,1.351648
4/10/2017,1.373626
4/11/2017,1.384835
4/12/2017,1.384725
4/13/2017,1.318791
4/17/2017,1.351648
4/18/2017,1.386044
4/19/2017,1.379121
4/20/2017,1.410989
4/21/2017,1.39011
4/24/2017,1.400549
4/25/2017,1.413187
4/26/2017,1.472527
4/27/2017,1.56044
4/28/2017,1.513187
5/1/2017,1.697692
5/2/2017,1.652747
5/3/2017,1.82967
5/4/2017,1.868132
5/5/2017,2.010989
5/8/2017,2.197802
5/9/2017,2.56044
5/10/2017,2.417582
5/11/2017,2.351648
5/12/2017,2.065934
5/15/2017,2.197802
5/16/2017,2.252747
5/17/2017,2.324176
5/18/2017,2.362637
5/19/2017,2.406593
5/22/2017,2.648352
5/23/2017,3.230769
5/24/2017,4.56044
5/25/2017,5.241758
5/26/2017,4.450549
5/30/2017,4.692308
5/31/2017,5.319231
6/1/2017,5.623626
6/2/2017,5.494505
6/5/2017,5.67033
6/6/2017,6.004945
6/7/2017,5.802198
6/8/2017,5.32967
6/9/2017,5
6/12/2017,4.250659
6/13/2017,4.376374
6/14/2017,3.846154
6/15/2017,4.203297
6/16/2017,4.395604
6/19/2017,4.659341
6/20/2017,5.054835
6/21/2017,4.78022
6/22/2017,4.660824
6/23/2017,4.816484
6/26/2017,4.305495
6/27/2017,4.35989
6/28/2017,4.527473
6/29/2017,4.395604
6/30/2017,4.285714
7/3/2017,4.43956
7/5/2017,4.476374
7/6/2017,4.395604
7/7/2017,4.318791
7/10/2017,4.230769
7/11/2017,4.131868
7/12/2017,4.394615
7/13/2017,4.302198
7/14/2017,4.120879
7/17/2017,3.802198
7/18/2017,4.153846
7/19/2017,3.934066
7/20/2017,4.286264
7/21/2017,4.351648
7/24/2017,4.593407
7/25/2017,4.43956
7/26/2017,4.401099
7/27/2017,4.450549
7/28/2017,4.615385
7/31/2017,4.615385
8/1/2017,4.659341
8/2/2017,4.869231
8/3/2017,5.186813
8/4/2017,5.21978
8/7/2017,5.923077
8/8/2017,5.813187
8/9/2017,5.714286
8/10/2017,6.153846
8/11/2017,6.775275
8/14/2017,8.131868
8/15/2017,7.527582
8/16/2017,8.054945
8/17/2017,8.164835
8/18/2017,7.730769
8/21/2017,7.681319
8/22/2017,7.887363
8/23/2017,8.021978
8/24/2017,8.241758
8/25/2017,8.296703
8/28/2017,8.42033
8/29/2017,9.153736
8/30/2017,10.186813
8/31/2017,11.043956
9/1/2017,8.791209
9/5/2017,8.516484
9/6/2017,9.123626
9/7/2017,8.681319
9/8/2017,7.901319
9/11/2017,7.582418
9/12/2017,7.637363
9/13/2017,6.21978
9/14/2017,5.696484
9/15/2017,6.923132
9/18/2017,8.186593
9/19/2017,7.747253
9/20/2017,7.802198
9/21/2017,7.197912
9/22/2017,7.285714
9/25/2017,7.583516
